"snd","rec"
8,1
13,1
17,1
40,1
41,1
49,1
13,3
48,3
12,4
34,4
35,5
49,6
2,7
28,7
29,7
17,8
37,8
39,8
40,8
41,8
48,8
49,8
28,9
43,10
4,11
12,11
34,11
44,11
51,11
4,12
11,12
25,12
34,12
51,12
8,13
17,13
20,13
21,13
37,13
40,13
50,14
23,15
33,15
1,17
8,17
16,18
16,19
1,21
3,21
13,21
16,21
49,21
15,22
30,23
33,23
31,24
50,24
4,25
11,25
12,25
34,25
51,25
9,28
36,28
42,28
7,29
50,29
33,30
48,30
49,30
14,31
11,34
25,34
10,36
10,38
43,38
6,39
23,39
41,39
1,40
17,40
37,40
9,42
9,43
28,43
4,44
34,44
27,45
35,45
47,45
5,46
27,46
35,46
47,46
5,47
27,47
35,47
45,47
46,47
3,48
33,48
15,49
22,49
